threshold	alignment_size	SNPs
100	7500	329275
100	7250	341316
100	7000	349928
100	6750	358832
100	6500	369311
100	6250	381463
100	6000	394687
100	5750	406740
100	5500	420311
100	5250	429921
100	5000	446890
100	4750	463136
100	4500	482362
100	4250	492924
100	4000	508856
100	3750	531183
100	3500	554314
100	3250	580453
100	3000	603598
100	2750	640184
100	2500	682216
100	2250	715969
100	2000	748424
100	1750	818396
100	1500	863429
100	1250	938153
100	1000	1015380
100	750	1109744
100	500	1235422
100	250	1396412
100	100	1579294
100	75	1657390
100	50	1715496
100	25	1837018
100	10000	255128
100	9750	258814
100	9500	264555
100	9250	270177
100	9000	277372
100	8750	283967
100	8500	290454
100	8250	293065
100	8000	299473
100	7750	306308
100	7500	313150
100	7250	322464
100	7000	333928
100	6750	345159
100	6500	359137
100	6250	373879
100	6000	387616
100	5750	402154
100	5500	415127
100	5250	425964
100	5000	439746
100	4750	452673
100	4500	462524
100	4250	480732
100	4000	509023
100	3750	531667
100	3500	555984
100	3250	577670
100	3000	601770
100	2750	635826
100	2500	680869
100	2250	718148
100	2000	768820
100	1750	801187
100	1500	849707
100	1250	911867
100	1000	1006363
100	750	1111478
100	500	1210425
100	250	1404619
100	100	1590381
100	75	1638724
100	50	1695449
100	25	1781476
100	10000	257317
100	9750	264122
100	9500	270959
100	9250	279694
100	9000	286605
100	8750	292437
100	8500	299065
100	8250	304831
100	8000	311962
100	7750	320107
100	7500	328388
100	7250	337095
100	7000	349650
100	6750	357311
100	6500	366986
100	6250	377405
100	6000	386650
100	5750	394005
100	5500	405072
100	5250	417952
100	5000	430008
100	4750	446366
100	4500	466928
100	4250	483212
100	4000	510461
100	3750	529606
100	3500	556103
100	3250	580677
100	3000	614639
100	2750	641520
100	2500	684317
100	2250	714186
100	2000	759928
100	1750	805837
100	1500	858379
100	1250	915564
100	1000	1018670
100	750	1100941
100	500	1251727
100	250	1461358
100	100	1604220
100	75	1646419
100	50	1741060
100	25	1817430
95	10000	1901047
95	9750	1900720
95	9500	1900782
95	9250	1900341
95	9000	1899519
95	8750	1899710
