threshold	alignment_size	SNPs
95	100	31038
95	75	28360
95	50	24741
95	25	20541
95	10000	168991
95	9750	167627
95	9500	165780
95	9250	163631
95	9000	161920
95	8750	160540
95	8500	158778
95	8250	155601
95	8000	154197
95	7750	152340
95	7500	150069
95	7250	147928
95	7000	146765
95	6750	145178
95	6500	141462
95	6250	139384
95	6000	137726
95	5750	134581
95	5500	132149
95	5250	129823
95	5000	127183
95	4750	124676
95	4500	122117
95	4250	120199
95	4000	117232
95	3750	113991
95	3500	111805
95	3250	108494
95	3000	105014
95	2750	101557
95	2500	97675
95	2250	93643
95	2000	89391
95	1750	84334
95	1500	78601
95	1250	74641
95	1000	69638
95	750	62658
95	500	53813
95	250	41515
95	100	32109
95	75	29478
95	50	25834
95	25	18873
95	10000	169520
95	9750	168381
95	9500	167017
95	9250	164892
95	9000	163250
95	8750	161629
95	8500	159826
95	8250	158592
95	8000	157021
95	7750	155125
95	7500	153533
95	7250	152373
95	7000	149770
95	6750	147950
95	6500	146238
95	6250	144420
95	6000	142209
95	5750	138939
95	5500	135766
95	5250	133261
95	5000	130784
95	4750	127477
95	4500	124363
95	4250	120817
95	4000	118135
95	3750	114770
95	3500	110187
95	3250	107522
95	3000	103547
95	2750	99645
95	2500	96175
95	2250	93233
95	2000	89127
95	1750	83940
95	1500	78432
95	1250	74111
95	1000	66104
95	750	57967
95	500	50429
95	250	41397
95	100	31389
95	75	28188
95	50	24710
95	25	21503
95	10000	169675
95	9750	168008
95	9500	166969
95	9250	165594
95	9000	164068
95	8750	162864
95	8500	161256
95	8250	158944
95	8000	156928
95	7750	155300
95	7500	153379
95	7250	151564
95	7000	149854
95	6750	147889
95	6500	145715
95	6250	143153
95	6000	140351
95	5750	137946
95	5500	136490
95	5250	133553
95	5000	131284
95	4750	129707
95	4500	126503
95	4250	124603
95	4000	120429
95	3750	117018
95	3500	113354
95	3250	111008
95	3000	107851
95	2750	103753
95	2500	100446
95	2250	95244
95	2000	91162
95	1750	87094
95	1500	82206
95	1250	77349
95	1000	69856
95	750	64145
95	500	53596
95	250	41010
95	100	31791
95	75	27415
95	50	23812
95	25	19325
95	10000	169501
95	9750	168202
95	9500	166999
95	9250	164810
95	9000	162098
95	8750	160269
95	8500	158470
95	8250	157381
95	8000	155986
95	7750	153938
95	7500	152153
95	7250	150611
95	7000	147825
95	6750	146139
95	6500	144061
95	6250	141422
95	6000	138956
95	5750	136400
95	5500	134743
95	5250	132686
95	5000	130606
95	4750	127687
95	4500	125234
95	4250	122693
95	4000	120535
95	3750	118262
95	3500	115324
95	3250	112331
95	3000	108383
95	2750	104289
95	2500	101399
95	2250	97026
95	2000	92721
95	1750	87678
95	1500	82327
95	1250	77199
95	1000	71052
95	750	64540
95	500	56532
95	250	42984
95	100	32964
95	75	28264
95	50	25232
95	25	21153
95	10000	169640
95	9750	168368
95	9500	167094
95	9250	165553
95	9000	163879
95	8750	162180
95	8500	160527
95	8250	158900
95	8000	157186
95	7750	155107
95	7500	153035
95	7250	149810
95	7000	147927
95	6750	145844
95	6500	144452
95	6250	142301
95	6000	140136
95	5750	137618
95	5500	135481
95	5250	132919
95	5000	130580
95	4750	127884
95	4500	124610
95	4250	121412
95	4000	119037
95	3750	114377
95	3500	111284
95	3250	108326
95	3000	104975
95	2750	101358
95	2500	97704
95	2250	94391
95	2000	90661
95	1750	86595
95	1500	82101
95	1250	76084
95	1000	68888
95	750	62824
95	500	52874
95	250	41509
95	100	30161
95	75	27261
95	50	25428
95	25	22234
95	10000	169255
95	9750	168020
95	9500	166263
95	9250	163665
95	9000	162258
95	8750	160397
95	8500	158840
95	8250	157148
95	8000	155453
95	7750	154027
95	7500	152191
95	7250	150008
95	7000	147794
95	6750	145837
95	6500	143788
95	6250	142197
95	6000	140717
95	5750	138219
95	5500	136398
95	5250	134227
95	5000	131506
95	4750	128981
95	4500	125545
95	4250	123101
95	4000	120452
95	3750	117813
95	3500	112840
95	3250	109192
95	3000	106100
95	2750	102321
95	2500	97012
95	2250	91300
95	2000	87840
95	1750	82997
95	1500	78048
95	1250	72165
95	1000	66784
95	750	60876
95	500	52435
95	250	38749
95	100	30291
95	75	28310
95	50	24127
95	25	19364
95	10000	169061
95	9750	167764
95	9500	166125
95	9250	164475
95	9000	162918
95	8750	161571
95	8500	159260
95	8250	157092
95	8000	155559
95	7750	153368
95	7500	151769
95	7250	149801
95	7000	147537
95	6750	145502
95	6500	143972
95	6250	141165
95	6000	139690
95	5750	137803
95	5500	135790
95	5250	132977
95	5000	130667
95	4750	127468
95	4500	124837
95	4250	121088
95	4000	118230
95	3750	113219
95	3500	109786
95	3250	106773
95	3000	104227
95	2750	101906
95	2500	99610
95	2250	95632
95	2000	90795
95	1750	86513
95	1500	82555
95	1250	77292
95	1000	70506
95	750	61587
95	500	52835
95	250	40224
95	100	30574
95	75	27725
95	50	25596
95	25	20392
95	10000	169493
95	9750	167505
95	9500	166315
95	9250	164350
95	9000	162750
95	8750	160928
95	8500	159441
95	8250	157781
95	8000	155744
95	7750	153475
95	7500	151540
95	7250	149945
95	7000	147871
95	6750	146076
95	6500	142750
95	6250	140533
95	6000	138511
95	5750	135871
95	5500	133351
95	5250	130467
95	5000	128434
95	4750	125660
95	4500	123920
95	4250	121194
95	4000	118234
95	3750	115509
95	3500	110898
95	3250	108881
95	3000	106134
95	2750	103108
95	2500	99238
95	2250	96854
95	2000	93455
95	1750	88686
95	1500	83186
95	1250	77697
95	1000	72427
95	750	65508
95	500	57243
95	250	43527
95	100	30634
95	75	27925
95	50	24416
95	25	21015
95	10000	169280
95	9750	167696
95	9500	166475
95	9250	164476
95	9000	162872
95	8750	160634
95	8500	158243
95	8250	156667
95	8000	154946
95	7750	153213
95	7500	151936
95	7250	150243
95	7000	147706
95	6750	145527
95	6500	143702
95	6250	142193
95	6000	140095
95	5750	138175
95	5500	135334
95	5250	132973
95	5000	131235
95	4750	127605
95	4500	124781
95	4250	122644
95	4000	120519
95	3750	117746
95	3500	115769
95	3250	112582
95	3000	109648
95	2750	105950
95	2500	100115
95	2250	95133
95	2000	91639
95	1750	87073
95	1500	81765
95	1250	75887
95	1000	69787
95	750	63973
95	500	53353
95	250	41155
95	100	33070
95	75	29081
95	50	25002
95	25	22360
80	10000	177790
80	9750	175955
80	9500	174555
80	9250	173473
80	9000	171292
80	8750	169570
80	8500	167658
80	8250	166487
80	8000	164557
80	7750	162790
80	7500	161279
80	7250	159031
80	7000	157407
80	6750	154792
80	6500	153321
80	6250	151447
80	6000	148686
80	5750	146553
80	5500	144258
80	5250	141439
80	5000	139007
80	4750	136593
80	4500	134980
80	4250	131601
80	4000	128037
80	3750	125170
80	3500	120811
80	3250	117077
80	3000	113921
80	2750	108911
80	2500	105120
80	2250	101467
80	2000	95664
80	1750	90793
80	1500	85643
80	1250	80759
80	1000	75247
80	750	66578
80	500	55318
80	250	44540
80	100	33790
80	75	31314
80	50	27250
80	25	22599
80	10000	177040
80	9750	175543
80	9500	173636
80	9250	171441
80	9000	169675
80	8750	168256
80	8500	166451
80	8250	163221
80	8000	161723
80	7750	159926
80	7500	157581
80	7250	155295
80	7000	154068
80	6750	152436
80	6500	148643
80	6250	146545
80	6000	144829
80	5750	141664
80	5500	139013
80	5250	136742
80	5000	133985
80	4750	131396
80	4500	128830
80	4250	126807
80	4000	123679
80	3750	120329
80	3500	118033
80	3250	114650
80	3000	111115
80	2750	107541
