test	genome_count	replicate	tool	seconds	ram_kb	input_length	output_length	output_md5sum
invariant site removal	100	3	snp-sites	3.72	16288	4809037	3844	71a4ae61417b997d305142ef182fcb21
invariant site removal	100	3	goalign 1 thread	21.38	1210840	4809037	3844	71a4ae61417b997d305142ef182fcb21
95 core	100	3	Core-SNP-Filter	0.12	2656	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	3	goalign 1 thread	0.02	16484	3844	3272	055cc1a61d617ccae2834dcd4c1da474
95 core	100	3	trimal	0.03	4456	3844	3272	e192d7b242d17c4c9fce3f774c70e21e
invariant site removal	180	3	Core-SNP-Filter	8.80	53156	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	3	snp-sites	6.02	18436	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
invariant site removal	180	3	goalign 1 thread	38.62	1786848	4809037	6139	7b30838cc901ee7f65a8df0a02a05f8a
95 core	180	3	Core-SNP-Filter	0.01	2656	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	3	goalign 1 thread	0.04	22632	6139	5168	e18ec7bc541fe6350691cd44073231b5
95 core	180	3	trimal	0.08	7096	6139	5168	4248309c6d16906399e55771b99e8236
invariant site removal	320	3	Core-SNP-Filter	15.52	50528	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	3	snp-sites	11.21	16752	4809037	8048	76654901e7c67f887513487295bf7e3a
invariant site removal	320	3	goalign 1 thread	72.77	2962504	4809037	8048	76654901e7c67f887513487295bf7e3a
95 core	320	3	Core-SNP-Filter	0.07	2700	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	3	goalign 1 thread	0.10	29608	8048	6688	b8b8d20dfbb15e31e18e630938e5bcb9
95 core	320	3	trimal	0.19	10668	8048	6688	7c4d019b311f83a9b4d9293af401758a
invariant site removal	560	3	Core-SNP-Filter	27.93	50612	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	3	snp-sites	20.10	20856	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
invariant site removal	560	3	goalign 1 thread	142.25	4884556	4809037	14655	8b977e1d6f484f8a5262dfd045261bc2
95 core	560	3	Core-SNP-Filter	0.25	2808	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	3	goalign 1 thread	0.29	62612	14655	13055	907bf509f0e0aaa8817ede8e54538031
95 core	560	3	trimal	0.63	27240	14655	13055	4098ac228356b616467a9753e1030402
invariant site removal	1000	3	Core-SNP-Filter	56.62	52816	4809037	26123	116520f8d6297c405e49b72915620b20
