threshold	alignment_size	SNPs
80	3000	4657079
80	2750	4657051
80	2500	4656990
80	2250	4656971
80	2000	4656966
80	1750	4657025
80	1500	4657074
80	1250	4657086
80	1000	4657000
80	750	4656992
80	500	4657079
80	250	4657222
80	100	4657322
80	75	4657547
80	50	4657914
80	25	4657920
80	10000	4657021
80	9750	4657025
80	9500	4657032
80	9250	4657044
80	9000	4657039
80	8750	4657036
80	8500	4657031
80	8250	4657041
80	8000	4657044
80	7750	4657059
80	7500	4657054
80	7250	4657042
80	7000	4657029
80	6750	4657031
80	6500	4657046
80	6250	4657041
80	6000	4657058
80	5750	4657064
80	5500	4657060
80	5250	4657059
80	5000	4657025
80	4750	4657010
80	4500	4657011
80	4250	4657023
80	4000	4657049
80	3750	4657037
80	3500	4657010
80	3250	4657002
80	3000	4656986
80	2750	4656999
80	2500	4657018
80	2250	4656993
80	2000	4657008
80	1750	4656977
80	1500	4656896
80	1250	4656803
80	1000	4656760
80	750	4656893
80	500	4656824
80	250	4656175
80	100	4656291
80	75	4656331
80	50	4656441
80	25	4654954
80	10000	4657031
80	9750	4657032
80	9500	4657032
80	9250	4657032
80	9000	4657025
80	8750	4657028
80	8500	4657031
80	8250	4657026
80	8000	4657034
80	7750	4657028
80	7500	4657029
80	7250	4657034
80	7000	4657027
80	6750	4657028
80	6500	4657026
80	6250	4657031
80	6000	4657042
80	5750	4657041
80	5500	4657024
80	5250	4657055
80	5000	4657037
80	4750	4657007
80	4500	4657032
80	4250	4657037
80	4000	4657063
80	3750	4657037
80	3500	4657032
80	3250	4657050
80	3000	4657041
80	2750	4657081
80	2500	4657042
80	2250	4657052
80	2000	4657071
80	1750	4657014
80	1500	4656956
80	1250	4656991
80	1000	4657076
80	750	4657147
80	500	4657278
80	250	4657174
80	100	4657088
80	75	4657216
80	50	4657064
80	25	4657103
80	10000	4657018
80	9750	4657022
80	9500	4657012
80	9250	4657020
80	9000	4657021
80	8750	4657004
80	8500	4657004
80	8250	4657020
