threshold	alignment_size	SNPs
100	75	3460
100	50	2729
100	25	2215
100	10000	6560
100	9750	6676
100	9500	6717
100	9250	6784
100	9000	7082
100	8750	7280
100	8500	7418
100	8250	7597
100	8000	7745
100	7750	7878
100	7500	8082
100	7250	8178
100	7000	8338
100	6750	8351
100	6500	8576
100	6250	8679
100	6000	8773
100	5750	8813
100	5500	8973
100	5250	9064
100	5000	9217
100	4750	9514
100	4500	9743
100	4250	9898
100	4000	10443
100	3750	10428
100	3500	10583
100	3250	10510
100	3000	10681
100	2750	10425
100	2500	10504
100	2250	10473
100	2000	10399
100	1750	10319
100	1500	10178
100	1250	10101
100	1000	9027
100	750	8430
100	500	7663
100	250	5332
100	100	3880
100	75	3038
100	50	2532
100	25	1405
100	10000	6363
100	9750	6440
100	9500	6506
100	9250	6552
100	9000	6701
100	8750	6761
100	8500	6999
100	8250	7082
100	8000	7217
100	7750	7372
100	7500	7362
100	7250	7417
100	7000	7589
100	6750	7750
100	6500	8246
100	6250	8301
100	6000	8513
100	5750	8695
100	5500	8846
100	5250	8736
100	5000	8843
100	4750	9256
100	4500	9182
100	4250	9198
100	4000	8967
100	3750	9009
100	3500	9124
100	3250	9030
100	3000	8886
100	2750	8773
100	2500	8628
100	2250	8595
100	2000	8780
100	1750	8353
100	1500	8585
100	1250	8221
100	1000	7545
100	750	7390
100	500	6807
100	250	5080
100	100	3907
100	75	3057
100	50	2584
100	25	1356
95	10000	64907
95	9750	64051
95	9500	63157
95	9250	62283
95	9000	61496
95	8750	60709
95	8500	59750
95	8250	58957
95	8000	58199
95	7750	56579
95	7500	55137
95	7250	54101
95	7000	53035
95	6750	51844
95	6500	51008
95	6250	49616
95	6000	48694
95	5750	47530
95	5500	46009
95	5250	44952
95	5000	43414
95	4750	42092
95	4500	40917
95	4250	39488
95	4000	38338
95	3750	37172
95	3500	35739
95	3250	34296
95	3000	32641
95	2750	30698
95	2500	29057
95	2250	27453
95	2000	25764
95	1750	23684
95	1500	21379
95	1250	19480
95	1000	17180
95	750	14257
95	500	11237
95	250	6736
95	100	3661
95	75	3315
95	50	2483
95	25	1511
95	10000	64745
95	9750	63803
95	9500	62429
95	9250	61707
95	9000	60883
95	8750	60074
95	8500	59291
95	8250	58076
95	8000	57097
95	7750	55572
95	7500	53880
95	7250	53111
95	7000	52021
95	6750	50920
95	6500	50133
95	6250	48862
95	6000	47609
95	5750	45936
95	5500	44797
95	5250	43632
95	5000	42160
95	4750	40720
95	4500	39450
95	4250	38013
95	4000	36984
95	3750	35733
95	3500	34467
95	3250	33209
95	3000	31467
95	2750	30507
95	2500	29174
